name,latitude,longitude 
C21306,17.5,-96.45
C21306,17.5,-96.45
C21306,17.5,-96.45
consensus,17.88333333,-96.55
C17692,17.88333333,-96.55
C17692,17.88333333,-96.55
P558377,16.26666667,-96.68333333
P498011,17.03333333,-96.76666667
P498223,17.03333333,-96.76666667
P498223,17.5,-96.76666667
P275195,17.03333333,-96.76666667
P283096,17.5,-96.76666667
P365379,18.71666667,-97.31666667
BRGC60465-3,19.11666667,-98.76666667
P498224,21.21666667,-99.03333333
C17689,19.35,-99.2
P545711,17.55,-99.5
C17693,19.71666667,-99.78333333
P347757,19.51666667,-100.25
17605-1-4,19.7,-101.1166667
STO-A,19.7,-101.1166667
P590930,21.01666667,-102.9833333
P575451,20.98333333,-103.1666667
PTA-A,23.5,-103.5833333
17831-1,23.5,-103.5833333
03-390-1,23.5,-103.5833333
03-390-3,23.5,-103.5833333
17831-8,23.5,-103.5833333
