A1_PI275193,17.8833,-96.55
A1_PI275196,17.5,-96.45
A1_PI275184,19.35,-99.2
A1_PI275195,17.03333,-96.76667
A1_PI275194,17.03333,-96.7667
A1_PI275193,17.8833,-96.55
A2_PI275193,17.8833,-96.55
A2_PI275196,17.5,-96.45
A3_PI275196,17.5,-96.45
A3_PI498011,17.0333,-96.7667
A3_PI275184,19.35,-99.2
A3_PI498223,17.03333,-96.76667
A3_PI275195,17.03333,-96.76667
A4_PI283096,17.5,-96.76667
A5_BRGC53682,19.25,-98.88333
A6_PI255518,19.7,-103.5166
A6_PI558377,16.2667,-96.6833
A7_PI558377,16.2667,-96.6833
A8_PI365379,18.71667,-97.31667
A9_PI498223,17.03333,-96.76667
A10_PI498223,17.03333,-96.76667
A11_PI275198,19.7166,-99.7833
B1_PI275193,17.8833,-96.55
B2_PI498224,21.21667,-99.03333
B3_PI338617,19.7,-101.1166
B3_PI545751,20.98333,-103.1667
B4_PI338617,19.7,-101.1166
C1_PI498223,17.03333,-96.76667
C2_PI275192,19.1833,-98.2166
C3_PI347757,19.51667,-100.25
C4_PI275229,23.5,-103.5833
C4_BRGC15444,24.183,-105.033
C5_PI275229,23.5,-103.5833
C6_CGN24119,18.91667,-99.71667
C7_PI498011,17.0333,-96.7667
D1_CGN22387,19.4667,-98.7667
D1_PI205522,19.1166,-98.7666
D2_PI545711,17.55,-99.05
D3_PI545711,17.55,-99.05
E2_PI243509,19.2167,-98.8
F1_PI347757,19.51667,-100.25
G1_PI243505,19.35,-99.2
H1_PI310960,17.81667,-98.133333
I1_PI310960,17.81667,-98.133333
J1_PI590930,20.26667,-102.93333
K1_PI590930,20.26667,-102.93333
L1_PI243505,19.35,-99.2
M1_PI275185,19.35,-99.2
M1_BRGC53682,19.25,-98.88333
M1_PI498225,19.4,-100.33
M1_PI275190,19.0666667,-98.3
M1_PI243509,19.2167,-98.8
M1_PI275189,19.2166,-98.8
M1_PI275188,19.2166,-98.8
M1_PI275187,19.8333,-101.7166

C5_,,
E1_BRGC55227,,
D1_,,
