strain_name,latitude,longitude,date
Wa,38.895112,-77.036366,1974-1-1
MMC153,24.749201,90.402618,2006-1-1
DH389,23.709921,90.407143,2004-1-1
MMC183,24.749201,90.402618,2006-1-1
MMC38,24.749201,90.402618,2005-1-1
MMC71,24.749201,90.402618,2005-1-1
V20,12.245251,109.198957,2006-1-1
V30,12.245251,109.198957,2006-1-1
V32,12.245251,109.198957,2006-1-1
NIV083375,18.520430,73.856744,2008-1-1
NIV07523,18.520430,73.856744,2007-1-1
NIV935070,18.520430,73.856744,1993-1-1
NIV951454,18.520430,73.856744,1995-1-1
Nov10-N596,55.039230,82.927818,2010-1-1
OP530,-15.786111,35.005833,1999-1-1
MW670,-15.786111,35.005833,1999-1-1
OP354,-15.786111,35.005833,1998-1-1
F01014,50.991748,4.709311,2008-1-1
F01280,51.056650,3.720000,2009-1-1
F02003,51.066667,4.533333,2009-1-1
F00005,51.176111,4.831667,2008-1-1
F01183,51.156667,4.444167,2009-1-1
F01187,51.219920,4.396250,2009-1-1
F01190,51.189856,4.432951,2009-1-1
F01350,51.091541,4.368926,2009-1-1
F01400,51.095850,5.783270,2008-1-1
F01418,50.964320,5.695110,2009-1-1
I0652,32.066157,34.777821,2006-1-1
I1166,32.066157,34.777821,2009-1-1
I1185,32.066157,34.777821,2009-1-1
I1326,32.066157,34.777821,2009-1-1
I0020,32.066157,34.777821,2006-1-1
I0538,32.066157,34.777821,2006-1-1
I0547,32.066157,34.777821,2006-1-1
I0700,32.066157,34.777821,2007-1-1
J474,31.949381,35.932911,2007-1-1
J597,31.949381,35.932911,2007-1-1
GR2144,-25.640893,28.170779,2003-1-1
Fin_92,60.169812,24.938240,1988-1-1
Fin_87,60.169812,24.938240,1988-1-1
Nov10-N458,55.039230,82.927818,2010-1-1
