Aguas Frías;-35,35;-71,066
Vilches;-35,45;-71,133
San Fabián A;-36,65;-71,55
San Fabián B;-36,566;-71,633
Recinto;-36,816;-71,683
Melipeuco;-38,85;-71,633
Ralco;-37,666;-71,666
Antuco;-37,383;-71,533
Monte León;-37,016;-71,816
Bullileo;-36,433;-71,616
El Colegual;-40,933;-73,466
Maihue;-40,216;-71,983
Cherquenco;-38,666;-71,95
Selva Oscura;-38,316;-72,083
Nahuelbuta;-37,666;-73,216
Curacaitín;-38,45;-71,733
Villarrica;-39,45;-72,216
Lag. Malleco;-38,233;-71,833
Villa Araucanía;-38,083;-73,166
Cap. Pastenes;-38,166;-72,966
