name,latitude,longitude
TOMATO_BAC_SL_MboI-40B16,0,0
CGN21363_1,15.15,-90.28333333
CGN21363_2,15.15,-90.28333333
CGN21364,15.21666667,-90.3
CGN22732,15.31666667,-91.51666667
CGN23075_1,15.31666667,-91.55
CGN23075_2,15.31666667,-91.55
CGN23074_1,15.76666667,-91.5
CGN23074_2,15.76666667,-91.5
CGN23010,19.16666667,-98.83333333
CGN23010_betty,19.16666667,-98.83333333
CGN22698,19.18333333,-98.21666667
CGN22698_betty,19.18333333,-98.21666667
CGN22698_2C6,19.18333333,-98.21666667
CGN960626,19.35,-99.2
CGN962577,19.43333333,-99.05
CGN962577-53682_blb1,19.43333333,-99.05
Dph_7999,19.7,-103.5166667
CGN17690,19.83333333,-101.7166667
CGN17687,20.65,-101.35
